id,suraNo,suraName,aya,arabic_text,translation,footnotes
1,1,Fatiha,1,بِسْمِ اللَّهِ الرَّحْمٰنِ الرَّحِيمِ,Er-Rahmân ve Er-Rahîm olan Allah’ın adıyla (okumaya başlıyorum).,
2,1,Fatiha,2,اَلْحَمْدُ لِلّٰهِ رَبِّ الْعَالَم۪ينَۙ,"Hamd, âlemlerin Rabbi olan Allah’a mahsustur.",
3,1,Fatiha,3,اَلرَّحْمٰنِ الرَّح۪يمِۙ,"(O,) Er-Rahmân ve Er-Rahîm’dir.",
4,1,Fatiha,4,مَالِكِ يَوْمِ الدّ۪ينِۜ,Din (Ahiret) Gününün sahibidir.,
5,1,Fatiha,5,اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَع۪ينُۜ,"Biz, yalnız sana ibadet eder ve yalnız senden yardım dileriz.",
6,1,Fatiha,6,اِهْدِنَا الصِّرَاطَ الْمُسْتَق۪يمَۙ,Bizi sırat-ı mustakime/dosdoğru yola hidayet et.,
7,1,Fatiha,7,صِرَاطَ الَّذ۪ينَ اَنْعَمْتَ عَلَيْهِمْۙ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّٓالّ۪ينَ,Kendisine nimet verdiklerinin yoluna (ilet). Gazaba uğramış ve sapkınların (yoluna) değil.,
8,2,Bakara,1,الٓمٓۚ,"Elif, Lâm, Mîm.",
9,2,Bakara,2,ذٰلِكَ الْكِتَابُ لَا رَيْبَۚۛ ف۪يهِۚۛ هُدًى لِلْمُتَّق۪ينَۙ,"Bu Kitap; kendisinde hiçbir şüphe olmayan, takva sahiplerine yol gösteren bir Kitap’tır.",
10,2,Bakara,3,اَلَّذ۪ينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُق۪يمُونَ الصَّلٰوةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَۙ,"O (takva sahipleri), gayba iman eder, namazı dosdoğru kılar ve kendilerine verdiğimiz rızıktan infak ederler.",
11,2,Bakara,4,وَالَّذ۪ينَ يُؤْمِنُونَ بِمَٓا اُنْزِلَ اِلَيْكَ وَمَٓا اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوقِنُونَۜ,"Sana indirilen ve senden önce indirilen (Kitaplara) iman eder, Ahiret Günü'ne yakinen inanırlar.",
12,2,Bakara,5,اُو۬لٰٓئِكَ عَلٰى هُدًى مِنْ رَبِّهِمْ وَاُو۬لٰٓئِكَ هُمُ الْمُفْلِحُونَ,"Bunlar, Rablerinden bir hidayet üzerelerdir. Ve onlar kurtuluşa erenlerin ta kendileridir.",
